column_name,process,mean,st_dev,min,max
event_id,ignore,nan,nan,nan,nan
event_start_date,ignore,nan,nan,nan,nan
sex,categorical,nan,nan,nan,nan
age_category,ignore,nan,nan,nan,nan
age_in_days,ignore,nan,nan,nan,nan
gestation_at_delivery_in_days,ignore,nan,nan,nan,nan
case_id,ignore,nan,nan,nan,nan
season,categorical,nan,nan,nan,nan
body_weight,numeric,0.23289127100661344,0.3073885527407448,0.0001618103504657796,7.966440164941807
head_circumference,numeric,0.05878692150665726,0.06149471532221301,4.865771228291292e-05,0.6847978698101421
crown_rump_length,numeric,0.08126900075949318,0.07766196007902797,1.4087760800345516e-05,0.8750962947580863
body_length,numeric,0.079687724361339,0.0911428571006659,0.0001346902105345377,1.9262976091033073
foot_length,numeric,0.08840178516448369,0.0792298678322541,0.00013731472070870404,0.8238353809099027
neglect_ynid,categorical,nan,nan,nan,nan
nutrition_nutn_id,categorical,nan,nan,nan,nan
dysmorphic_features_ynid,categorical,nan,nan,nan,nan
jaundice_ynid,categorical,nan,nan,nan,nan
oedema_ynid,categorical,nan,nan,nan,nan
pallor_ynid,categorical,nan,nan,nan,nan
blood_at_mouth_bmid,categorical,nan,nan,nan,nan
signs_of_trauma_ynid,categorical,nan,nan,nan,nan
heart_weight,numeric,0.29135137549009793,0.44117746693642496,7.680696545898406e-05,8.933852613299127
comb_lung_weight,numeric,0.2496976055756628,0.32037828839398547,3.784229331786413e-05,10.23196692719244
liver_weight,numeric,0.24064800178310916,0.2805426574390425,2.2412002844927874e-05,7.119093987559783
pancreas_weight,numeric,0.42152709388796583,1.5777031627756333,0.00012334327213234616,68.42013570752441
thymus_weight,numeric,0.4821158222375307,0.6897006799506925,0.00030328250246951775,24.53809140276421
spleen_weight,numeric,0.38888672422963,0.8725532607839415,0.0002930729023785352,29.553451267176687
comb_adrenal_weight,numeric,0.4585139195825834,2.2994821560494603,0.0003461604167229062,81.9810668508657
thyroid_weight,numeric,0.670909181692929,5.611027877303945,-49.88484094995862,137.64927632160231
comb_kidney_weight,numeric,0.2816158509155487,0.6084297622459555,2.844657150589197e-05,16.77773329975627
brain_weight,numeric,0.16916741490397036,0.16664865816413724,0.00038936843695408757,1.8161302495037381
signs_of_treatment_ynid,categorical,nan,nan,nan,nan
cod2_summ,ignore,nan,nan,nan,nan
include_in_study,ignore,nan,nan,nan,nan
cardiovascular_macro_sy_fi_id,categorical,nan,nan,nan,nan
central_nervous_macro_sy_fi_id,categorical,nan,nan,nan,nan
endocrine_macro_sy_fi_id,categorical,nan,nan,nan,nan
gastrointestinal_macro_sy_fi_id,categorical,nan,nan,nan,nan
respiratory_macro_sy_fi_id,categorical,nan,nan,nan,nan
reticuloendothelial_macro_sy_fi_id,categorical,nan,nan,nan,nan
urogenital_macro_sy_fi_id,categorical,nan,nan,nan,nan
